Name,Category,Author name,Author category,"Does the document acknowledge/reference a broader ""primitive""",Use cases mentioned,Watermark/Watermark-Adjacent Technologies Mentioned,Technologies as an Exhaustive List,Coordination with developer for watermark generation (coarse),Coordination with developer for watermark generation (fine),Detection process acknowledgement,Detection process implementation (Fine),Distinguish between verifiers and tool providers (coarse),Distinguish between verifiers and tool providers (fine),Who are verifiers required to trust (coarse),Who are verifiers required to trust (fine),What properties does the document acknowledge?,Adversarial robustness (coarse),Adversarial robustness (fine),Honest robustness (coarse),Honest robustness (fine),Quality (coarse),Quality (fine),False negative rate (coarse),False negative rate (fine),Unforgeability (coarse),Unforgeability (fine),False positive rate (coarse),False positive rate (fine),Calls to action,Assertiveness of call to action,Additional Notes,Column 33,Column 34,Column 35
‘We no longer know what reality is.’ How tech companies are working to help detect AI-generated images,Web Article,Jennifer Korn,Journalist(s),Yes,"Disinformation, Deepfakes","Post-hoc detection, Invisible Watermarks, Metadata tagging",Exhaustive List,Adding watermarks requires model developer involvement,Not applicable (post-hoc detection). Mentions that watermarks are added by developers to their models (metadata tagging). ,Acknowledges that a detection process exists (if applicable),Content is uploaded to a platform (post-hoc detection). Not mentioned (metadata tagging).,Yes,"Yes (post-hoc detection), No (metadata tagging), No (invisible watermarks)",Not mentioned,"Not mentioned (metadata tagging), Not mentioned (post-hoc detection)",False Negative Rate,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (post-hoc detection).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (post-hoc detection).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (post-hoc detection).,"Broadly mentions that ""it’s unclear whether these technical solutions will be able to fully address the problem"".","Cites OpenAI to say that their tool is ""imperfect"" and ""should be taken with a grain of salt"" (post-hoc detection). Not mentioned (metadata tagging).",Not mentioned.,Not mentioned (metadata tagging). Not mentioned (post-hoc detection).,Not mentioned.,Not mentioned (metadata tagging). Not mentioned (post-hoc detection).,Not mentioned,N/A,"Refers to watermarks added at the source as a ""kind of digital signature"". Uses ""watermarks"" as a vague, abstract concept, including, for example, C2PA. No clear distinction between technologies.",,,
Google launches watermarks for AI-generated images,Web Article,Clare Duffy,Journalist(s),Yes,"Election Integrity, Disinformation","Explicit labels, Metadata tagging, Invisible Watermarks",Exhaustive List,Adding watermarks requires model developer involvement,Mentions that companies are working together to detect AI content (metadata tagging). Mentions that companies are working together to detect AI content (invisible watermarks). Mentions that model providers add labels to the outputs of their models (explicit labels).,Does not acknowledges that a detection process exists (if applicable),Not mentioned (metadata tagging). Not mentioned (invisible watermarks). Not applicable (explicit labels).,No,"No (metadata tagging), No (invisible watermarks), Not applicable (explicit labels)",Not mentioned,"Not mentioned (metadata tagging), Not mentioned (explicit labels), Not mentioned (invisible watermarks)",Adversarial Robustness,Acknowledged.,"Mentions that ""Meta is [...] working to prevent users from stripping out the invisible watermarks from AI-generated images"" (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (explicit labels).",Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (explicit labels).,Not mentioned,N/A,"Cites a comment that acknowledges watermarks are only part of the solution, which should also include things like ""checking whether the account sharing the content is trustworthy or looking for details that might look or sound unnatural."" Vague, abstract concept for the technologies, and no clear distinctions between them.",,,
Meta Calls for Industry Effort to Label A.I.-Generated Content,Web Article,Mike Isaac,Journalist(s),Yes,"Misinformation, Election Integrity","""Say """"I Used AI"""""", Metadata tagging",Examples,Adding watermarks requires model developer involvement,"Mentions that detecting generative AI content will need coordination from various industry partners, including the model providers (metadata tagging). Not applicable (say ""I used AI"").",Does not acknowledges that a detection process exists (if applicable),"Not mentioned (metadata tagging). Not applicable (say ""I used AI"").",No,"No (metadata tagging), ""Not Applicable (Say """"I Used AI"""")""",Not mentioned,"Not mentioned (metadata tagging), ""Not applicable (say """"I used AI"""")""",None,"Broad mention of how ""technologists have quickly found ways to circumvent"" AI-detection tools.","Not mentioned (metadata tagging). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (metadata tagging). Not mentioned (say ""I used AI"").",Not mentioned,N/A,"Acknowledges metadata tagging is ""not a perfect answer"".",,,
"Opinion | A.I. Is Coming for the Past, Too",Web Article,Jacob N. Shapiro and Chris Mattmann,Academic expert(s),Yes,"Deepfakes, Election Integrity",None,Exhaustive List,Does not discuss,N/A,Does not acknowledges that a detection process exists (if applicable),N/A,No,N/A,Not mentioned,Not applicable,None,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned.,N/A,Not mentioned,N/A,"Not very clear distinction between technologies (""watermarked"" could be both invisible watermarks and metadata tagging). Watermarks are only mentioned briefly, in passing. However, talks about watermarks like a silver bullet.",,,
When A.I.'s Output Is a Threat to A.I. Itself,Web Article,Aatish Bhatia,Journalist(s),Yes,None,Invisible Watermarks,Examples,Does not discuss,Not mentioned (invisible watermarks).,Does not acknowledges that a detection process exists (if applicable),Not mentioned (invisible watermarks).,No,No (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),"Adversarial Robustness, False Positive Rate",Acknowledged.,"Mentions that watermarks can ""easily be subverted"" (invisible watermarks).",Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Acknowledged,"Mentions watermarks ""can't can’t always be reliably detected"" (invisible watermarks).",Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned,N/A,Mentions model collapse as a use-case of watermarks.,,,
AI Or Reality? How The Tech Industry Can Help Navigate The Blur,Web Article,Ben Gebremeskel,Other online contributor(s),Yes,None,"Invisible Watermarks, ""Say """"I Used AI""""""",Examples,Adding watermarks requires model developer involvement,"Mentions that model providers add invisible watermarks to their models, which requires collaboration to develop standards (invisible watermarks). Not applicable (say ""I used AI"")..",Acknowledges that a detection process exists (if applicable),"Says watermarks are ""detectable by software tools"". Not applicable (say ""I used AI"").",No,"No (invisible watermarks), ""Not Applicable (Say """"I Used AI"""")""",Not mentioned,"""Not applicable (say """"I used AI"""")"", Not mentioned (invisible watermarks)",None,Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (say ""I used AI"").","Development of standards, Model providers must add watermarks",Suggestion,"Uses ""watermarks"" as a vague, abstract concept. Treats watermarks as a silver bullet.",,,
Why AI-Generated Content Labeling Mandates Fall Short,Web Article,Justyna Lisinska and Daniel Castr,Practitioner expert(s),Yes,"Misinformation, Deepfakes, Fraud/Scams, Disinformation, NCII","Invisible Watermarks, Metadata tagging, Visible Watermarks",Exhaustive List,Adding watermarks requires model developer involvement,"Mentions that model providers add watermarks to their models, and that detection depends on tools from the model provider (invisible watermarks). Mentions that model providers add watermarks to their models (visible watermarks). Not mentioned (metadata tagging).",Acknowledges that a detection process exists (if applicable),"Mentions that watermark is ""detectable only by specialized software"", which ""usually requires
using a proprietary tool designed for that specific watermarking system""; mentions that users ""need different tools
to verify content generated by different companies"" (invisible watermarks). Not mentioned (metadata tagging). Not applicable (visible watermarks).",Yes,"Yes (Invisible watermarks), Not Applicable (Visible Watermarks), No (metadata tagging)",Not mentioned,"Not mentioned (visible watermarks), Not mentioned (metadata tagging), Not mentioned (invisible watermarks)","Adversarial Robustness, Quality, Honest Robustness","Mentions, in general, that tools have ""limited
resilience to manipulation"".","Mentions that watermarks can be removed by ""deliberate or unconscious manipulation of
content"", or bypassed by using unregulated or open-source models; mentions that invisible watermarks are more resilient that visible ones, the latter which can be removed with ""advanced techniques"" (invisible watermarks). Mentions that watermarks can be removed by ""deliberate or unconscious manipulation of
content"", or bypassed by using unregulated or open-source models; mentions that visible watermarks are less resilient than invisible ones, the latter which can be removed with ""basic editing""  (visible watermarks). Mentions that metadata can be ""unintentionally or deliberately removed"" (metadata tagging).",Acknowledged,"Mentions that watermarks can be removed by ""deliberate or unconscious manipulation of
content"" (invisible watermarks). Mentions that watermarks can be removed by ""deliberate or unconscious manipulation of
content"" (visible watermarks). Mentions that metadata can be ""unintentionally or deliberately removed"" (metadata tagging).",Acknowledged,"Mentions that watermarking is ""is limited by how much data can be added without
reducing content quality"" (invisible watermarks). Mentions that watermarking is ""is limited by how much data can be added without
reducing content quality"" (visible watermarks). Not mentioned (metadata tagging).",Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks). Not mentioned (metadata tagging).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks). Not mentioned (metadata tagging).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (visible watermarks). Not mentioned (metadata tagging).,"Watermarking is not sufficient, Development of standards",Suggestion,"Uses ""mandatory labeling"" as a vague, abstract concept (which watermarking is an example of). Treats visible and invisible watermarks as part of the same type of tool. Say that watermarks are ""neither a
reasonable nor effective solution"". Instead, ""policymakers should prioritize building
trust within the digital ecosystem as a whole"". Also mentions ""digital fingerprinting"" as another approach to detecting AI content; together with watermarks and metadata tagging, refers to these as the ""three main approaches to labeling AI-generated content"". Mentions other approaches besides labeling/detection that are important for this problem. Interesting comments on the relationship of harmful content and provenance of content. Emphasizes importance of ""voluntary"" policy guidelines. Somewhat treats C2PA as a silver bullet",,,
Don’t let watermarks stigmatize AI-generated research content,Web Article,Natalia Tsybuliak and Yana Suchikova,Academic expert(s),No,Plagiarism,Invisible Watermarks,Examples,Does not discuss,Not mentioned (invisible watermarks).,Does not acknowledges that a detection process exists (if applicable),Not mentioned (invisible watermarks).,No,No (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),None,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,"Development of standards, Caution in deployement of watermarks",Suggestion,"Mentions watermarks may lead to a ""reductive""  view of content as either AI generated or not.",,,
What ChatGPT and generative AI mean for science,Web Article,Chris Stokel-Walker and Richard Van Noorden,Practitioner expert(s),No,"Misinformation, Plagiarism","""Say """"I Used AI"""""", Post-hoc detection, Invisible Watermarks",Examples,Adding watermarks requires model developer involvement,"Mentions that ""AI content would come with its own watermark"" (invisible watermarks). Not applicable (post-hoc detection). Not applicable (say ""I used AI"").",Acknowledges that a detection process exists (if applicable),"Tools are used to verify if content is AI generated (post-hoc detection). Mentions watermarks ""can be identified statistically"" (invisible watermarks). Not applicable (say ""I used AI"").",Yes,"No (invisible watermarks), ""Not Applicable (Say """"I Used AI"""")"", Yes (post-hoc detection)",Not mentioned,"""Not applicable (say """"I used AI"""")"", Not mentioned (invisible watermarks), Not mentioned (post-hoc detection)","Adversarial Robustness, False Negative Rate, False Positive Rate",Acknowledged,"Mentions ""none of these tools claims to be infallible, particularly if AI-generated text is subsequently edited"" (post-hoc detections). Mentions ""editing could defeat"" watermarks, but that editing would have to be substantial (e.g., more than half the words (invisible watermarks). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (post-hoc detectors). Not mentioned (say ""I used AI"").",Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (post-hoc detectors). Not mentioned (say ""I used AI"").",Acknowledged,"Mentions ""none of these tools claims to be infallible, particularly if AI-generated text is subsequently edited"" (post-hoc detections).",Not mentioned.,"Not mentioned (invisible watermarks). Not mentioned (post-hoc detectors). Not mentioned (say ""I used AI"").",Acknowledged,"Mentions ""detectors could falsely suggest that some human-written text is AI-produced"" (post-hoc detectors). Cites an expert that says that watermarks ""rarely produces false positives"" (invisible watermarks).",Model users must include disclaimer,N/A,,,,
Google unveils invisible ‘watermark’ for AI-generated text,Web Article,Elizabeth Gibney,Journalist(s),Yes,"Plagiarism, Misinformation",Invisible Watermarks,Examples,Adding watermarks requires model developer involvement,"Mentions that developers need ""to commit to using watermarks"" (invisible watermarks).",Acknowledges that a detection process exists (if applicable),"Mentions that watermarks tweak text in a ""formulaic way that can be detected with a cryptographic key""; mentions that ""Google is keeping its own key secret, so users won’t be able to use detection tools to spot Gemini-watermarked text"" (invisible watermarks).",Yes,Yes (Invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),"Adversarial Robustness, Quality, Unforgeability, False Negative Rate",Acknowledged,"Mentions watermarks are not ""able to withstand determined attempts to remove""; and ""any watermark is vulnerable to being removed"" (invisible watermarks).",Not mentioned.,Not mentioned (invisible watermarks).,Acknowledged,"Mentions that, for Google's watermark, users rated model outputs as being of ""equal quality to unwatermarked ones"".",Acknowledged,"Mentions Google's ""elaborate scheme makes it easier to detect the watermark"", and that watermarks are more robust as the text is longer (invisible watermarks).",Acknowledged,Mentions any watermark is vulnerable to being spoofed (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned,N/A,"Mentions model collapse as a use-case of watermarks. Cites an expert saying ""the resilience of watermarks to such attacks is a “massive policy question”"", and that watermarks will start being more helpful for benign AI usage.",,,
OpenAI releases Deepfake detector to Disinformation Researchers,Web Article,Cade Metz and Tiffany Hsu,Journalist(s),No,"Deepfakes, Disinformation","Metadata tagging, Post-hoc detection, Invisible Watermarks",Examples,Does not discuss,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not applicable (post-hoc detection).,Does not acknowledges that a detection process exists (if applicable),Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (post-hoc detectors).,No,"No (metadata tagging), No (invisible watermarks), No (post-hoc detection)",Not mentioned,"Not mentioned (post-hoc detection), Not mentioned (invisible watermarks), Not mentioned (metadata tagging)",Adversarial Robustness,Acknowledged,"Mentions OpenAI hopes to make ""watermarks difficult to remove"" (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (post-hoc detectors).",Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (post-hoc detectors).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (post-hoc detectors).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (post-hoc detectors).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (post-hoc detectors).,Not mentioned.,Not mentioned (invisible watermarks). Not mentioned (metadata tagging). Not mentioned (post-hoc detectors).,Not mentioned,N/A,"Vague mention of ""deepfake detector""; unclear what this means (post-hoc detector?); acknowledges that since the deepfake detector ""is driven by probabilities, it can never be perfect"". Uses ""watermarks"" in a vague way (e.g., it is not clear whether this is visible or invisible watermarks).",,,
How Congress can secure Biden’s AI legacy,Web Article,Nicol Turner Lee and Jack Malamud,Practitioner expert(s),No,None,Invisible Watermarks,Examples,Does not discuss,Not mentioned (invisible watermarks).,Does not acknowledges that a detection process exists (if applicable),Not mentioned (invisible watermarks).,No,No (invisible watermarks),Not mentioned,Not mentioned (invisible watermarks),None,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned.,Not mentioned (invisible watermarks).,Not mentioned,N/A,"Uses ""watermarks"" in a broad sense, which could mean various technologies. Broad mention of ""it will be important to take care not to overestimate the limited potential of [watermarking[ technology"".",,,
The European Union AI Act: premature or precocious regulation?,Web Article,Bertin Martens,Practitioner expert(s),Yes,Deepfakes,Invisible Watermarks,Examples,Does not discuss,Does not discuss,Does not acknowledges that a detection process exists (if applicable),Does not discuss (Invisible Watermarks),No,No (Invisible Watermarks),Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Development of standards,Suggestion,Informational document about legislation,,,
How ChatGPT could embed a 'Watermark' in the text it generates,Web Article,Keith Collins,Journalist(s),Yes,"Misinformation, Plagiarism","Invisible Watermarks, Post-hoc detection",Examples,Adding watermarks requires model developer involvement,"Invisible watermarks require each model developer to incorporate the invisible watermark mechanism
Does not discuss (Post-hoc detection)",Acknowledges that a detection process exists (if applicable),"Detecting invisible watermarks involves a process of identifying special listed words. This cannot detect on models that don't use the invisible watermarking system. 
Not Applicable (Post-Hoc detection)",Yes,"Yes (Invisible watermarks), Yes (post-hoc detection)",Not mentioned,Not mentioned,Adversarial Robustness,                Acknowledged,Invisible watermarks are not robust to paraphrasing,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Watermarking is not sufficient,Suggestion,Also discusses drop in accuracy for post-hoc detection.,,,
Researchers Tested AI Watermarks—and Broke All of Them,Web Article,Kate Knibbs,Other online contributor(s),Yes,"Deepfakes, Election Integrity","Invisible Watermarks, Visible Watermarks",Examples,Does not discuss,"Does not discuss (Invisible Watermarks)
Does not discuss (Visible Watermarks)",Does not acknowledges that a detection process exists (if applicable),"Does not discuss (Invisible Watermarks)
Not Applicable (Visible Watermarks)",No,"No (Invisible Watermarks), Not Applicable (Visible Watermarks)",Not mentioned,Not mentioned,"Adversarial Robustness, Quality, Unforgeability, False Positive Rate",Watermarks can be 'washed out',N/A,Not Mentioned,Not Mentioned,                Acknowledged,Invisible watermarks are low perturbation,Not Mentioned,Not Mentioned,Watermarks can be applied to human-generated images,,Forging watermarks for human-generated images can result in false positives. ,N/A,Watermarking is not sufficient,Suggestion,,,,
Detecting AI fingerprints: A guide to watermarking and beyond,Web Article,Siddarth Srinivasan,Academic expert(s),Yes,"Misinformation, Disinformation, CSAM, Election Integrity, Deepfakes, Digital Provenance, Fraud/Scams, Plagiarism","Invisible Watermarks, Post-hoc detection, Metadata tagging, Cryptographic/Digital Signatures, Visible Watermarks",Examples,Adding watermarks requires model developer involvement,"""Embedding watermarks will require the model developer’s cooperation. Additionally, for current watermarking schemes, ensuring that the watermark isn’t easily removed or forged may require the model developer to keep key details or components of the watermark generation scheme private. Measures also need to be in place to ensure that an AI model’s watermark detection service continues to exist even if a model developer discontinues a particular AI model or goes out of business, since content generated by the model will continue to circulate in the wild. Lastly, since digital content can easily flow across borders, policymakers will need to secure the cooperation of foreign model developers to ensure that their model outputs are watermarked too."" Only post-hoc detectors dont require developer coordination. ",Acknowledges that a detection process exists (if applicable),"Invisible watermarks is not a universal detector. To id watermarking, you need to try the detection protocol of every watermarking solution or AI model.  
Invisible watermark detection process for text involves checking if textual bias of watermarks is present. 
Invisible watermark detection process for images involves undoing generation process. Detection for this kind of technique requires access to the image detection model. 
Post-hoc detectors are a universal detector. 
Does not discuss (Metadata tagging)
Does not discuss (Cryptographic/Digital Signatures)
Not Applicable (Visible Watermarks)",Yes,Yes (Invisible watermarks),"Model providers, Detection-tool providers","Detection tool providers (Invisible Watermarks), Model providers (Invisible Watermarks)","Adversarial Robustness, Quality, False Negative Rate, False Positive Rate, Unforgeability",An AI detection tool should be robust against intentional attempts to evade it. Image-based detection methods are susceptible to cropping problems. ,Visible watermarks are easy to corrupt or remove. Invisible watermarks and post-hoc detectors are more robust. Metadata tagging is very weak to robustness.,Not Mentioned,Not Mentioned,Acknowledged,Some invisible watermarks can meaningfully degrade quality. Statistical image watermarks do not degrade quality at all.  Post-hoc detectors and metadata tagging does not degrade quality.,A good AI detector should limit false negatives.,N/A,An AI detection tool should be robust to forgery,"Post-hoc detection is somewhat resistant to forgery, invisible watermarks are more resistant, and metadata tagging is most resistant. ",Acknowledged,Post-hoc detectors have a high false positive rate.,"Caution in deployement of watermarks, Development of standards, Watermarking is not sufficient",Strong suggestion,"Also discusses detection of partially AI generated content, and use as a universal detector. ",,,
Will the White House AI Executive Order deliver on its promises?,Web Article,Mishaela Robison ,Practitioner expert(s),No,Authenticating Communications,None,N/A,Does not discuss,N/A,Not Applicable,N/A,Not Applicable,Not Applicable,Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Development of standards,,,,,
The impact of generative AI in a global election year,Web Article,Valerie Wirtschafter,Practitioner expert(s),No,"Misinformation, Disinformation, Deepfakes, Election Integrity","Invisible Watermarks, Metadata tagging, Post-hoc detection, ""Say """"I Used AI""""""",Examples,Adding watermarks requires model developer involvement,"Adding invisible watermarks and metadata tagging can require involvement by model developers, and open-source models may fall outside these bounds.
Not Applicable (Say 'I Used AI')
Does not discuss (Post-hoc detection)",Acknowledges that a detection process exists (if applicable),"Acknowledges that a detection process exists for identifying post-hoc detection.
Not Applicable (Say 'I Used AI')
Does not discuss (Invisible Watermarks)
Does not discuss (Metadata tagging)",No,"""Not Applicable (Say """"I Used AI"""")"", No (Metadata Tagging), No (Invisible Watermarks), No (Post-hoc detection)",Not mentioned,Not mentioned,"Adversarial Robustness, False Positive Rate, False Negative Rate",,"Metadata tagging is susceptible to screenshotting or phone recording, Invisible watermarks can be easily broken or tampered with.",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,Post-hoc detection has a high negative rate. ,,,Acknowledged,Post-hoc detection has a high positive rate.,"Model providers must provide an option to include watermarks, Model providers should provide detection tools, Development of standards, Model users must include disclaimer",Strong suggestion,,,,
COPIED Act of 2024: Protecting Creative Works in the AI Era,Web Article,Angela Luna,Journalist(s),No,"Misinformation, Disinformation, Deepfakes",None,N/A,Adding watermarks requires model developer involvement,AI developers may need to equip users with provenance and watermarking information.,Acknowledges that a detection process exists (if applicable),"Simply mentions that detection processes are needed, no further discussion.",Not Applicable,Not Applicable,Not mentioned,Not mentioned,Adversarial Robustness,Altering provenance data may be necessary for satire or creative expression.,N/A,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Development of standards,Strong suggestion,"Legislation should wait on legal, policy, and other advice. ",,,
Regulating AI Deepfakes and Synthetic Media in the Political Arena,Web Article,Daniel Weiner and Lawrence Norden,Practitioner expert(s),No,"Misinformation, Disinformation, Deepfakes, Election Integrity",Explicit labels,Examples,Adding watermarks requires model developer involvement,Model developers should disclose AI generated content (Explicit Labels),Does not acknowledges that a detection process exists (if applicable),Not Applicable (Explicit Labels),Not Applicable,Not Applicable (Explicit Labels),Not mentioned,Not mentioned,None,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Model providers must add watermarks, Model users must include disclaimer",Suggestion,Describe watermarking as a broader primitive but see expicit labels/disclosures as separate from them. ,,,
Why AI watermarks miss the mark in preventing misinformation,Web Article,Kat Tenbarge and Kevin Collier,Journalist(s),Yes,Deepfakes,"Metadata tagging, Explicit labels, Invisible Watermarks, Visible Watermarks",Examples,Adding watermarks requires model developer involvement,"Open source models aren't beholden to watermarking standards like C2PA (Metadata tagging)
Does not discuss (Explicit Labels)
Does not discuss (Invisible watermarks)
Does not discuss (Visible watermarks)",Acknowledges that a detection process exists (if applicable),"Detecting ElevenLabs invisible watermarks requires uploading audio to site.
Not Applicable (Explicit Labels)
Not Applicable (Visual Watermarks)
Does not discuss (Metadata tagging)",Yes,Yes (Invisible watermarks),Not mentioned,Not mentioned,Adversarial Robustness,Acknowledged,"Explicit labels can be removed by screenshotting and cropping. Invisible watermarks are more robust, but can still be cropped or manipulated out. ",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Watermarking is not sufficient,Suggestion,,,,
AI watermarks aren’t just easy to defeat—they could make disinformation worse,Web Article,Sage Lazzaro,Journalist(s),Yes,Disinformation,"Metadata tagging, Explicit labels, Post-hoc detection, Invisible Watermarks",Exhaustive List,Adding watermarks requires model developer involvement,"Meta will apply C2PA standards to images generated by Llama. 
Does not discuss (Explicit labels)
Not applicable (Post-hoc detection)
Does not discuss (Invisible watermarks)",Acknowledges that a detection process exists (if applicable),"Meta claims it will detect AI content from other models (Post-hoc detection)
Not Applicable (Explicit labels)
Does not discuss (Invisible Watermarks)
Does not discuss (Metadata Tagging)",No,"No (Metadata Tagging), Not Applicable (Explicit Labels), No (Invisible Watermarks), No (Post-hoc detection)","Users generating content, Detection-tool providers",Detection tool providers (post-hoc detection),"Adversarial Robustness, False Positive Rate, False Negative Rate",Acknowledged,Remove metadata tagging by screenshotting the image. ,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,Metadata tag detection will not work for open source models,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Watermarking is not sufficient, Caution in deployement of watermarks",Suggestion,"Watermarking term is overloaded, Explicit labels is considered separate from watermarking 'primitive'. All of the watermarking technologies are inconsistent.",,,
OpenAI working on new AI image detection tools,Web Article,Emilia David,Journalist(s),Yes,None,"Metadata tagging, Post-hoc detection, Invisible Watermarks",Examples,Does not discuss,"Does not discuss (Metadata tagging)
Not Applicable (Post-hoc detectors)
Does not discuss (Invisible Watermarks)",Acknowledges that a detection process exists (if applicable),"Post-hoc detection relies on classifiers.
Does not discuss (Metadata Tagging)",No,"No (Metadata Tagging), No (Post-hoc detection), No (Invisible Watermarks)",Not mentioned,Not mentioned,False Negative Rate,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Acknowledged,False negative rate of post-hoc detectors increase with other models. ,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,,N/A,,,,
Watermarking the future,Web Article,Emilia David,Journalist(s),Yes,"Disinformation, Misinformation, Deepfakes","Visible Watermarks, Invisible Watermarks, Metadata tagging",Examples,Does not discuss,"Does not Discuss (Invisible Watermarks)
Does not discuss (Visible Watermarks)
Does not discuss (Metadata tagging)",Acknowledges that a detection process exists (if applicable),"Invisible watermarks can be detectable by a tool. 
Does not discuss (Metadata Tagging)
Not Applicable (Visible Watermarks)",Yes,Not Applicable,Not mentioned,Not mentioned,"Adversarial Robustness, Quality",Acknowledged,"Visual watermarks are easily removed via editing. 
Invisible watermarks are more robust than Visual
Metadata tagging is more robust than Visual ",Not Mentioned,Not Mentioned,Acknowledged,"Invisible Watermarks and Metadata Tagging minimally affects generated content.
Does not discuss (Visible Watermarks)",Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Watermarking is not sufficient,Suggestion,Suggests more work needs to be done with watermarks.,,,
